date,product_id,quantity,price
2024-01-01,8049,14,385.18
2024-01-02,3509,20,279.13
2024-01-03,7847,14,947.64
2024-01-04,5171,3,853.72
2024-01-05,1979,16,142.37
2024-01-06,7282,7,916.93
2024-01-07,3092,10,950.82
2024-01-08,6259,8,211.84
2024-01-09,9096,5,183.27
2024-01-10,8185,8,804.28
2024-01-11,6836,18,460.55
2024-01-12,8040,5,752.32
2024-01-13,8953,8,987.8
2024-01-14,5565,10,302.59
2024-01-15,8128,20,453.9
2024-01-16,6589,15,385.87
2024-01-17,9024,16,888.39
2024-01-18,4157,3,977.26
2024-01-19,1512,1,502.31
2024-01-20,9117,20,434.18
2024-01-21,3047,14,514.8
2024-01-22,9695,16,784.04
2024-01-23,2217,20,749.05
2024-01-24,7267,8,583.29
2024-01-25,6952,17,274.24
2024-01-26,9440,20,283.58
2024-01-27,6493,9,237.59
2024-01-28,6617,2,195.89
2024-01-29,1334,15,305.44
2024-01-30,4289,1,745.88
2024-01-31,7868,5,534.01
2024-02-01,4471,11,449.32
2024-02-02,3569,17,686.93
2024-02-03,8421,8,631.33
2024-02-04,5568,17,137.33
2024-02-05,2139,17,111.44
2024-02-06,8513,13,987.2
2024-02-07,3059,15,975.04
2024-02-08,5663,14,179.61
2024-02-09,8496,3,913.53
2024-02-10,3868,4,918.46
2024-02-11,7649,18,126.81
2024-02-12,1301,11,611.31
2024-02-13,9738,5,996.63
2024-02-14,8395,19,585.94
2024-02-15,5103,13,405.32
2024-02-16,9863,5,327.19
2024-02-17,6359,17,473.44
2024-02-18,9338,19,788.79
2024-02-19,2416,15,374.04
2024-02-20,8748,20,319.97
2024-02-21,6664,19,619.67
2024-02-22,8965,18,744.91
2024-02-23,3127,11,197.36
2024-02-24,9410,8,982.24
2024-02-25,7758,15,304.56
2024-02-26,9617,11,645.61
2024-02-27,8564,5,121.43
2024-02-28,4539,10,696.91
2024-02-29,4416,8,310.89
2024-03-01,6197,13,718.68
2024-03-02,9315,15,461.37
2024-03-03,3768,8,732.64
2024-03-04,1190,7,494.77
2024-03-05,9978,6,701.59
2024-03-06,5482,19,856.58
2024-03-07,4557,10,455.57
2024-03-08,5404,19,966.81
2024-03-09,2367,20,900.07
2024-03-10,7164,3,176.81
2024-03-11,8428,15,364.49
2024-03-12,2198,9,318.79
2024-03-13,7010,18,407.83
2024-03-14,4377,16,684.51
2024-03-15,6471,5,102.13
2024-03-16,2012,1,820.52
2024-03-17,6030,1,468.87
2024-03-18,4914,7,146.8
2024-03-19,9184,16,579.19
2024-03-20,8724,15,785.35
2024-03-21,2188,7,960.83
2024-03-22,7463,4,344.17
2024-03-23,7290,13,926.59
2024-03-24,5420,16,855.34
2024-03-25,2767,8,547.1
2024-03-26,9444,8,783.7
2024-03-27,7909,12,836.09
2024-03-28,4103,8,673.7
2024-03-29,5418,9,816.98
2024-03-30,4081,7,920.98
2024-03-31,9788,12,831.82
2024-04-01,7590,6,750.23
2024-04-02,4028,13,256.74
2024-04-03,6082,3,728.26
2024-04-04,3830,19,160.22
2024-04-05,2364,15,269.45
2024-04-06,6066,14,719.71
2024-04-07,4831,10,252.22
2024-04-08,9857,3,531.66
2024-04-09,8747,12,491.09
2024-04-10,5634,11,471.03
2024-04-11,7711,5,858.9
2024-04-12,6020,10,218.39
2024-04-13,4649,7,577.84
2024-04-14,7639,6,851.32
2024-04-15,1527,18,164.25
2024-04-16,6385,14,623.9
2024-04-17,8933,20,141.17
2024-04-18,6901,2,727.66
2024-04-19,8012,7,946.64
2024-04-20,6465,3,669.18
2024-04-21,7552,7,861.77
2024-04-22,7922,13,985.42
2024-04-23,1248,10,312.67
2024-04-24,3917,7,608.67
2024-04-25,1303,16,424.49
2024-04-26,3561,12,749.59
2024-04-27,2003,8,722.59
2024-04-28,6981,13,881.61
2024-04-29,1258,16,504.17
2024-04-30,8208,4,614.11
2024-05-01,2097,19,318.95
2024-05-02,5186,14,780.48
2024-05-03,6610,18,190.65
2024-05-04,5628,4,899.42
2024-05-05,5389,12,932.44
2024-05-06,8308,12,748.54
2024-05-07,9594,13,637.72
2024-05-08,4089,13,458.42
2024-05-09,2106,20,308.79
2024-05-10,2542,17,333.58
2024-05-11,1523,5,295.47
2024-05-12,5646,3,353.4
2024-05-13,7138,10,527.41
2024-05-14,2670,18,616.46
2024-05-15,8550,8,185.34
2024-05-16,6758,15,499.2
2024-05-17,6303,15,926.69
2024-05-18,7064,5,824.41
2024-05-19,1025,7,931.39
2024-05-20,6013,13,710.56
2024-05-21,7020,14,433.58
2024-05-22,6544,16,296.48
2024-05-23,7801,12,512.39
2024-05-24,9876,6,809.68
2024-05-25,9029,12,734.36
2024-05-26,6067,17,253.13
2024-05-27,1135,17,685.58
2024-05-28,9418,17,103.98
2024-05-29,8845,11,173.16
2024-05-30,9768,13,266.96
2024-05-31,7707,2,771.0
2024-06-01,6879,19,110.67
2024-06-02,4347,2,226.72
2024-06-03,5429,9,369.23
